Byte-by-byte Description of file: table5.dat
--------------------------------------------------------------------------------
   Bytes Format Units    Label    Explanations
--------------------------------------------------------------------------------
   1-  6  I6    ---      HD       ? HD number
  11- 13  I3    km/s     Vcomp    ? Specific Heliocentric velocity component (1)
  16- 31  A16   ---      Name     Name
  33- 37  F5.2  [cm-2] b_logNHo   ? Lower limit on logNHOb
  39- 43  F5.2  [cm-2]   logNHo   ? Log observed H column density
  45- 49  F5.2  [cm-2] B_logNHo   ? Upper limit on logNHOb
  51- 55  F5.2  ---      F*o      ? Observed line-of-sight depletion strength
                                  factor
  57- 60  F4.2  ---    e_F*o      ? Uncertainty in F*o
  62- 66  F5.2  [cm-2]   logNHs   ? Log synthetic H column density
  68- 71  F4.2  [cm-2] e_logNHs   ? Uncertainty in logNHs  
  73- 77  F5.2  ---      F*s      ? Synthetic line-of-sight depletion strength
                                  factor
  79- 82  F4.2  ---    e_F*s      ? Uncertainty in F*s  
  84- 88  F5.3  ---      Prob     ? Probability of a worse fit
  90-130  A41   ---      El       Elements considered in fit
--------------------------------------------------------------------------------
Note (1): Separate velocity components, explicitly identified and not
     grouped together; see section 4.3.
--------------------------------------------------------------------------------
  1383         HD 1383          21.43 21.50 21.58  0.61 0.04 21.49 0.08  0.59 0.08 0.510 O Mg Mn Ni Cu Ge
  2905         {kappa} Cas      21.17 21.29 21.40  0.58 0.06 21.00 0.26  0.41 0.14 0.989 Mg Cl Ti Mn Fe Ni Cu
  5394         {gamma} Cas      20.06 20.16 20.24  0.52 0.04 20.15 0.05  0.51 0.05 0.306 N O Mg P Cl Ti Mn Fe
 12323         HD 12323         21.21 21.29 21.36  0.52 0.04 21.24 0.08  0.48 0.07 0.011 O Mg Mn Fe Ni Cu Ge
 13268         HD 13268         21.35 21.42 21.49  0.51 0.04 21.38 0.07  0.48 0.08 0.147 O Mg Mn Ni Cu Ge
 13745         HD 13745         21.30 21.37 21.45  0.43 0.07                             Mg Fe
 14434         HD 14434         21.40 21.47 21.54  0.52 0.04 21.45 0.09  0.51 0.09 0.301 O Mg Mn Ni Cu
 15137         HD 15137         21.10 21.22 21.35  0.37 0.09                             Mg Fe
 18100         HD 18100         20.02 20.15 20.29  0.14 0.04 19.75 0.09 -0.21 0.08 0.000 Mg Si P Cr Mn Fe Ni Zn
 21856         HD 21856         21.02 21.11 21.18  0.67 0.39                             Mg Mn
 22586         HD 22586         20.21 20.36 20.54  0.34 0.07 20.24 0.35  0.20 0.24 0.240 Si Ti Fe Ni
 22928         {delta} Per      19.40       21.22            19.64 0.11  0.23 0.11 0.028 N Mg P Ti Mn Fe
 22951         40 Per           21.11 21.22 21.33  0.73 0.05 20.89 0.15  0.52 0.10 0.007 Mg P Cl Ti Mn Ni Cu
 23180         {omicron} Per    21.09 21.19 21.30  0.84 0.06 21.28 0.09  0.92 0.09 0.362 N O Mg P Ti Mn Cu
 23478         HD 23478         20.89 21.05 21.14 -0.00 0.50                             O Kr
 23630         {eta} Tau                                     20.40 0.14  0.89 0.10 0.005 Ti Cr Zn
 24190         HD 24190         21.25 21.30 21.35  0.63 0.24                             O Kr
 24398         {zeta} Per       21.10 21.20 21.31  0.88 0.05 21.23 0.07  0.90 0.07 0.163 C O Mg P Ti Mn Fe Cu Kr
 24534         X Per            21.31 21.34 21.38  0.90 0.06 21.37 0.07  0.93 0.11 0.228 C N  O P Fe
 24760         {epsilon} Per    20.41 20.50 20.59  0.68 0.04 20.45 0.05  0.62 0.05 0.375 N O Mg P Cl Ti Mn Fe Kr
 24912         {xi} Per         21.22 21.29 21.37  0.83 0.02 21.46 0.06  0.95 0.05 0.000 C O Mg P Cl Ti Cr Mn Fe Ni Cu Zn
 27778         62 Tau           20.99       21.27            21.38 0.07  1.19 0.07 0.640 N O Mg P Mn Fe Ni Cu Ge Kr
 30614         {alpha} Cam      21.02 21.09 21.17  0.46 0.04 21.02 0.09  0.41 0.07 0.001 O Mg P Ti Mn
 31237         {pi}^5^ Ori      19.65 20.16 20.37  0.52 0.21                             Mg P Mn Fe
 34029         {alpha} Aur      18.15 18.24 18.34  0.44 0.05 18.71 0.13  0.95 0.12 0.000 C N  O Mg Si Fe
 34816         {lambda} Lep     20.08 20.18 20.26  0.45 0.05                             Ti
 34989         HD 34989         21.00 21.10 21.18  0.72 0.17                             Fe
 35149         23 Ori           20.47 20.63 20.74  0.54 0.04 21.03 0.05  0.85 0.05 0.000 C N  O Mg Si P Cl Ti Cr Mn Fe Ni Cu Zn Ge
 35439         25 Ori           20.06 20.36 20.49  0.72 0.18                             Mg P Cl Mn
 35715         {psi} Ori        20.26 20.49 20.64  0.66 0.11                             Mg P Cl Mn Fe
 36486         {delta} Ori A    20.15 20.19 20.23  0.54 0.02 20.07 0.04  0.45 0.04 0.004 N O Mg P Cl Ti Cr Mn Fe Zn
 36822         {phi}^1^ Ori     20.75 20.84 20.91  0.74 0.08                             Mg P Mn
 36841         HD 36841                                      20.90 0.19  0.81 0.18 0.937 Mg P Mn Ni Cu
 36861         {lambda} Ori A   20.67 20.80 20.90  0.57 0.04 20.77 0.04  0.53 0.04 0.144 C N  O Mg P Cl Ti Mn Fe Kr
 37021         {theta}^1^ Ori                                21.52 0.06  0.75 0.06 0.000 C O Mg Si P Fe Ni Cu Ge Kr
 37043         {iota} Ori       20.08 20.15 20.21  0.41 0.03 20.09 0.05  0.36 0.04 0.040 N O Mg P Cl Ti Mn Fe
 37061         {nu} Ori                                      21.69 0.06  0.82 0.07 0.000 C O Mg Si Fe Cu Ge Kr
 37128         {epsilon} Ori    20.35 20.45 20.53  0.54 0.03 20.40 0.05  0.49 0.04 0.022 O Mg P Cl Ti Cr Mn Fe Zn Kr
 37367         HD 37367         21.23 21.33 21.42  0.65 0.07 21.49 0.09  0.86 0.12 0.991 O Mg Mn Cu Ge Kr
 37468         {sigma} Ori      20.42 20.52 20.60  0.58 0.04 20.78 0.11  0.78 0.11 0.000 Mg P Cl Ti Mn
 37742         {zeta} Ori A     20.32 20.41 20.49  0.57 0.05                             Ti
 37903         HD 37903         21.38 21.44 21.50  1.15 0.03 21.34 0.06  1.03 0.07 0.297 N O Mg P Mn Fe Ni Cu Ge Kr
 38666         {mu} Col         19.84 19.86 19.88  0.11 0.01 19.92 0.04  0.16 0.04 0.589 Mg Si P Ti Cr Mn Fe Ni Zn
 38771         {kappa} Ori      20.47 20.52 20.56  0.67 0.03 20.50 0.05  0.65 0.05 0.000 N O Mg P Cl Ti Mn Fe Kr
 40111         139 Tau          20.87 20.95 21.03  0.49 0.04 20.77 0.09  0.34 0.08 0.718 Mg P Cl Ti Mn Fe Ni Cu
 40893         HD 40893         21.46 21.54 21.61  0.61 0.05 21.47 0.06  0.52 0.07 0.372 O Mg Fe Kr
 41161         HD 41161         21.00 21.08 21.17  0.44 0.04 21.30 0.06  0.57 0.04 0.002 N O Ti Fe
 42933         {delta} Pic      20.15 20.23 20.35  0.32 0.06                             Ti
 43818         LU Gem                                        21.65 0.06  0.66 0.07 0.032 O Mg Mn Ni Cu Ge
 44506         HD 44506         19.49 20.09 20.32 -0.03 0.23                             Mg Cl Fe
