# type v iv iii ii ib iab ia
O3 -5.80 -6.00 -6.30 -5.95 -6.30 -6.65 -6.90
O4 -5.65 -5.88 -6.20 -5.94 -6.29 -6.64 -6.91
O5 -5.50 -5.76 -6.10 -5.93 -6.28 -6.63 -6.92
O5.5 -5.35 -5.64 -6.00 -5.92 -6.27 -6.62 -6.93
O6 -5.20 -5.52 -5.90 -5.91 -6.26 -6.61 -6.94
O6.5 -5.05 -5.40 -5.80 -5.90 -6.25 -6.60 -6.95
O7 -4.90 -5.28 -5.70 -5.89 -6.24 -6.59 -6.96
O7.5 -4.75 -5.16 -5.60 -5.88 -6.23 -6.58 -6.97
O8 -4.60 -5.04 -5.50 -5.87 -6.22 -6.57 -6.98
O8.5 -4.45 -4.92 -5.40 -5.86 -6.21 -6.56 -6.99
O9 -4.30 -4.80 -5.30 -5.85 -6.20 -6.55 -7.00
O9.5 -4.15 -4.68 -5.20 -5.84 -6.19 -6.54 -7.01
O9.7 -4.00 -4.56 -5.10 -5.83 -6.18 -6.53 -7.02
B0 -3.85 -4.44 -5.00 -5.82 -6.17 -6.52 -7.03
B0.2 -3.70 -4.32 -4.90 -5.70 -6.10 -6.51 -7.04
B0.5 -3.55 -4.20 -4.80 -5.50 -6.05 -6.50 -7.05
B0.7 -3.42 -4.08 -4.60 -5.30 -6.00 -6.49 -7.06
B1 -3.04 -3.96 -4.25 -5.10 -5.95 -6.48 -7.07
B1.5 -2.66 -3.50 -3.90 -4.90 -5.90 -6.47 -7.08
B2 -2.28 -3.10 -3.55 -4.70 -5.85 -6.46 -7.09
B2.5 -1.90 -2.70 -3.20 -4.50 -5.80 -6.45 -7.10
B3 -1.52 -2.30 -2.85 -4.30 -5.75 -6.44 -7.11
B4 -1.28 -1.28 -1.59 -2.67 -4.21 -5.03 -6.12
B5 -1.21 -1.21 -1.48 -2.16 -4.28 -5.02 -6.10
B6 -0.89 -0.89 -1.35 -1.70 -4.35 -5.00 -6.07
B7 -0.67 -0.67 -1.19 -1.33 -4.35 -4.99 -6.04
B8 -0.49 -0.49 -0.99 -1.06 -4.24 -4.98 -6.01
B9 0.10 0.10 -0.77 -0.93 -3.94 -4.97 -5.98
# data until B3: Bowen 2008 appendix 3B
# data from B4 onwards: Wegner 2007 Table 8
# There is a big jump in magnitude between these two sources, especially for the high luminosity
# classes. Not sure what to do about this.
