Title: A Far Ultraviolet Spectroscopic Explorer Survey of Interstellar 
       Molecular Hydrogen in the Galactic Disk  
Authors: Shull J.M., Danforth C.W., Anderson K.L. 
Table: Column Densities and Rotational Temperatures
================================================================================
Byte-by-byte Description of file: apjabe707t4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label   Explanations
--------------------------------------------------------------------------------
   1-  3 I3     ---    ID      Internal target number
   5- 18 A14    ---    Target  Target identifier
  20- 24 F5.2   [cm-2] logNH2  log H2 column density (1)
  26- 28 I3     K      T01     Rotational excitation temperature 
                                from N1/N0 ratio (2)
  30- 32 I3     K      T02     ? Rotational excitation temperature 
                                 from N2/N0 ratio (2)
  34- 36 I3     K      T24     ? Rotational excitation temperature 
                                 from N4/N2 ratio (2)
  38- 41 I4     K      T35     ? Rotational excitation temperature 
                                 from N5/N3 ratio (2)
  43- 47 F5.2   [cm-2] logNHI  log HI column density (1) 
      48 A1     ---  f_logNHI  [*] Flag on logNHI (3)
  50- 54 F5.2   [cm-2] logNH   log H column density (1) 
  56- 59 F4.2   kpc    Dphot   Photometric distance 
  61- 65 F5.3   cm-3   <nH>    Mean total hydrogen density along sight line
  67- 72 F6.4   ---    fH2     Molecular fraction (4)
      74 I1     ---    Notes   S/N ratio level (5)
--------------------------------------------------------------------------------
Note (1): Values of N(0) and N(1) come from fitting damping-wing Voigt profiles
          of R(0), R(1), and P(1) lines. Their errors depend on data quality.
          Neutral hydrogen column densities are taken from previous surveys by 
          Diplas & Savage (1994) [1994ApJS...93..211D], 
          Jenkins (2019) [2019ApJ...872...55J],
          Fitzpatrick & Massa (1990) [1990ApJS...72..163F], and several 
          individual papers. Details are discussed in Section 2.1 and Table 2
Note (2): As described in Sections 3.4 and 3.5.
Note (3):
    * = No Ly{alpha} fits. We use the relation, 
        NH = (5.8e21 cm^-2^ mag^-1^)E(B-V) from the Copernicus 
        survey (Savage et al. 1977) [1997ApJ...216..291S].
Note (4): Defined by fH2 = 2N_H2_/[N_HI_ + 2N_H2_].
Note (5): 
    1 = S/N {>=} 15 with errors of {+/-} 0.03 - 0.05 on logN; 
    2 = 5 {<=} S/N {<=} 15 with errors of {+/-} 0.05 - 0.10; 
    3 = S/N {<=} 5, with errors of {+/-} 0.10 - 0.20.
--------------------------------------------------------------------------------
  1 BD 35deg4258   19.56 125 125 222  247 21.24  21.26 2.51 0.22  0.040  2 
  2 BD 53deg2820   20.04 107  52 473  590 21.35  21.39 4.27 0.17  0.089  2 
  3 CPD -59deg2600 20.16  81  57 274  381 21.54  21.57 2.11 0.57  0.077  2 
  4 CPD -59deg2603 20.13  87  99 141  595 21.43  21.47 2.60 0.37  0.091  1 
  5 CPD -69deg1743 19.91 101  50 376  491 21.16  21.21 4.47 0.36  0.101  2 
  6 CPD -72deg1184 20.07 115  73 173      20.90  21.01 9.85 0.034 0.228  2 
  7 HD 3827        17.48 159 159 274  348 20.55  20.55 1.88 0.061 0.0017 1 
  8 HD 5005A       20.22  86  92 172  277 21.40  21.45 2.89 1.03  0.117  1 
  9 HD 12323       20.31  93  85 181  236 21.19  21.29 3.04 0.21  0.209  2 
 10 HD 13268       20.47 111  85 181  288 21.34  21.44 2.80 0.32  0.212  2 
 11 HD 13745       20.59  75  98 156  260 21.34  21.47 2.81 0.34  0.262  2 
 12 HD 14434       20.54 117 123 141  303 21.45  21.55 2.98 0.39  0.197  2 
 13 HD 15137       20.27 119  76 215  274 21.24  21.32 3.00 0.23  0.176  1 
 14 HD 15558A      20.89  93 103 142  290 21.52  21.69 1.91 0.83  0.319  3 
 15 HD 15642       20.33 159 331 118  187 21.23  21.33 3.89 0.18  0.201  2 
 16 HD 34656       20.19  94  66 209  276 21.22* 21.29 1.99 0.32  0.157  1 
 17 HD 39680       19.53  90  73 148  273 21.30  21.31 2.67 0.25  0.033  1 
 18 HD 41161       20.02  96  81 178  221 21.01  21.09 1.16 0.34  0.170  3 
 19 HD 42088       20.51  82  71 190  257 21.15  21.31 1.97 0.34  0.314  1 
 20 HD 45314       20.60  89  77 158  204 21.04  21.28 0.80 0.77  0.421  1 
 21 HD 46150       20.64  97  55 273  383 21.26  21.43 1.47 0.59  0.324  1 
