# MAIN_ID RA DEC RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE PLX_VALUE PLX_PREC PLX_ERROR PLX_QUAL PLX_BIBCODE SCRIPT_NUMBER_ID
"BD+35  4258" "20 46 12.6561" "+35 32 25.573" 9 9 9.060 7.300 90 A O 2007A&A...474..653V "" 0 "" "" "" 1
"BD+53  2820" "22 13 49.6984" "+54 24 35.104" 14 14 0.036 0.032 90 A O 2018yCat.1345....0G 0.284 4 0.04019999876618385 A 2018yCat.1345....0G 2
"BD+56   524" "02 19 06.4288" "+57 07 33.898" 14 14 0.023 0.037 90 A O 2018yCat.1345....0G 0.426 4 0.042500000447034836 A 2018yCat.1345....0G 3
"HD   1383" "00 18 17.7369" "+61 43 37.405" 14 14 0.028 0.024 90 A O 2018yCat.1345....0G 0.299 4 0.031700000166893005 A 2018yCat.1345....0G 4
"HD  13268" "02 11 29.7002" "+56 09 31.717" 14 14 0.027 0.036 90 A O 2018yCat.1345....0G 0.591 4 0.04659999907016754 A 2018yCat.1345....0G 5
"HD  14250" "02 20 15.7224" "+57 05 54.993" 14 14 0.040 0.063 90 A O 2018yCat.1345....0G 0.803 4 0.07419999688863754 A 2018yCat.1345....0G 6
"HD  14434" "02 21 52.4122" "+56 54 18.032" 14 14 0.028 0.037 90 A O 2018yCat.1345....0G 0.391 4 0.04729999974370003 A 2018yCat.1345....0G 7
"HD  15558" "02 32 42.5366" "+61 27 21.582" 14 14 0.063 0.071 90 A O 2018yCat.1345....0G 0.466 4 0.08550000190734863 A 2018yCat.1345....0G 8
"HD  17505" "02 51 07.9751" "+60 25 03.872" 9 9 7.020 6.850 89 A O 2007A&A...474..653V 1.140 2 0.8199999928474426 A 2007A&A...474..653V 9
"HD  23060" "03 43 24.0094" "+34 06 58.492" 14 14 0.047 0.026 90 A O 2018yCat.1345....0G 1.848 4 0.05180000141263008 A 2018yCat.1345....0G 10
"*  62 Tau" "04 23 59.7629" "+24 18 03.527" 14 14 0.051 0.029 90 A O 2018yCat.1345....0G 4.457 4 0.04740000143647194 A 2018yCat.1345....0G 11
"HD  37903" "05 41 38.3889" "-02 15 32.476" 14 14 0.045 0.047 90 A O 2018yCat.1345....0G 2.493 4 0.054499998688697815 A 2018yCat.1345....0G 12
"HD  38087" "05 43 00.5750" "-02 18 45.388" 14 14 0.075 0.091 90 A O 2018yCat.1345....0G 2.953 4 0.10350000113248825 A 2018yCat.1345....0G 13
"HD  45314" "06 27 15.7780" "+14 53 21.219" 14 14 0.055 0.051 90 A O 2018yCat.1345....0G 1.209 4 0.047200001776218414 A 2018yCat.1345....0G 14
"HD  46056" "06 31 20.8609" "+04 50 03.842" 14 14 0.051 0.049 90 A O 2018yCat.1345....0G 0.656 4 0.05999999865889549 A 2018yCat.1345....0G 15
"HD  46150" "06 31 55.5205" "+04 56 34.302" 14 14 0.056 0.057 90 A O 2018yCat.1345....0G 0.626 4 0.07880000025033951 A 2018yCat.1345....0G 16
"HD  46202" "06 32 10.4728" "+04 57 59.818" 8 8 41.020 23.240 0 C "" 1998A&A...335L..65H "" 0 "" "" "" 17
"HD  47129" "06 37 24.0417" "+06 08 07.376" 14 14 0.058 0.072 90 A O 2018yCat.1345....0G 0.658 4 0.09399999678134918 A 2018yCat.1345....0G 18
"HD  47240" "06 37 52.7036" "+04 57 24.007" 14 14 0.062 0.056 90 A O 2018yCat.1345....0G 0.469 4 0.07249999791383743 A 2018yCat.1345....0G 19
"HD  47417" "06 38 47.9259" "+06 54 06.784" 14 14 0.056 0.054 90 A O 2018yCat.1345....0G 0.640 4 0.0689999982714653 A 2018yCat.1345....0G 20
"HD  62542" "07 42 37.2148" "-42 13 47.830" 14 14 0.023 0.035 90 A O 2018yCat.1345....0G 2.564 4 0.03009999915957451 A 2018yCat.1345....0G 21
"HD  73882" "08 39 09.5341" "-40 25 09.260" 9 9 7.210 5.640 90 A O 2007A&A...474..653V 2.170 2 0.9100000262260437 A 2007A&A...474..653V 22
"HD  91651" "10 33 30.2995" "-60 07 40.038" 14 14 0.035 0.040 90 A O 2018yCat.1345....0G 0.517 4 0.045499999076128006 A 2018yCat.1345....0G 23
"HD  93222" "10 44 36.2479" "-60 05 28.886" 14 14 0.027 0.032 90 A O 2018yCat.1345....0G 0.340 4 0.035599999129772186 A 2018yCat.1345....0G 24
"HD  93250" "10 44 45.0270" "-59 33 54.681" 14 14 0.024 0.027 90 A O 2018yCat.1345....0G 0.363 4 0.029999999329447746 A 2018yCat.1345....0G 25
"HD  93827" "10 48 31.3126" "-60 56 10.348" 14 14 0.031 0.030 90 A O 2018yCat.1345....0G 0.248 4 0.035999998450279236 A 2018yCat.1345....0G 26
"HD  96675" "11 05 57.8104" "-76 07 48.883" 14 14 0.074 0.068 90 A O 2018yCat.1345....0G 6.150 4 0.07349999994039536 A 2018yCat.1345....0G 27
